Name,Type,brand,modelDate,fuelType,Transmission,mileage,engine,price
"['Mercedes', 'Benz']",Car,Mercedes Benz,2002,Diesel,Automatic,"59,000 km",3200cc,3500000
"['Suzuki', 'Wagon']",Car,Suzuki,2021,Petrol,Manual,"11,000 km",1000cc,2950000
"['Toyota', 'Passo']",Car,Toyota,2018,Petrol,Automatic,"57,000 km",1000cc,3500000
"['Toyota', 'C-HR']",Car,Toyota,2018,Hybrid,Automatic,"65,000 km",1800cc,8700000
"['Toyota', 'Aqua']",Car,Toyota,2014,Hybrid,Automatic,"130,000 km",1500cc,3300000
"['Honda', 'Vezel']",Car,Honda,2015,Hybrid,Automatic,"161,000 km",1500cc,5300000
"['Nissan', 'Bluebird']",Car,Nissan,2013,Petrol,Automatic,"80,000 km",1500cc,2485000
"['Honda', 'Civic']",Car,Honda,2013,Petrol,Automatic,"121,000 km",1800cc,2950000
"['Toyota', 'Premio']",Car,Toyota,2007,Petrol,Automatic,"108,000 km",1800cc,2900000
"['Honda', 'Civic']",Car,Honda,2015,Petrol,Automatic,"80,000 km",1800cc,4475000
"['Toyota', 'Hilux']",Car,Toyota,2022,Diesel,Automatic,"30,000 km",2800cc,13950000
"['Honda', 'City']",Car,Honda,2015,Petrol,Automatic,"95,000 km",1300cc,2925000
"['Honda', 'Civic']",Car,Honda,2021,Petrol,Automatic,"21,000 km",1800cc,7200000
"['Daihatsu', 'Cuore']",Car,Daihatsu,2008,Petrol,Manual,"103,000 km",800cc,900000
"['FAW', 'X-PV']",Car,FAW,2017,Petrol,Manual,"175,523 km",1000cc,850000
"['Honda', 'City']",Car,Honda,2018,Petrol,Automatic,"86,000 km",1300cc,3550000
"['Lexus', 'RX']",Car,Lexus,2021,Electric,Automatic,"6,500 km",cc,24000000
"['Honda', 'Vezel']",Car,Honda,2017,Hybrid,Automatic,"95,000 km",1500cc,7800000
"['Suzuki', 'Swift']",Car,Suzuki,2011,Petrol,Manual,"156,000 km",1300cc,1580000
"['Suzuki', 'Cultus']",Car,Suzuki,2018,Petrol,Manual,"95,000 km",1000cc,2360000
"['Mitsubishi', 'Pajero']",Car,Mitsubishi,1991,Petrol,Automatic,"110,000 km",3500cc,2600000
"['Honda', 'City']",Car,Honda,2016,Petrol,Manual,163 km,1300cc,2895000
"['Daihatsu', 'Boon']",Car,Daihatsu,2018,Petrol,Automatic,"49,500 km",1000cc,3550000
"['Toyota', 'Corolla']",Car,Toyota,2003,Diesel,Automatic,"150,000 km",2000cc,2000000
"['Toyota', 'Corolla']",Car,Toyota,2020,Petrol,Manual,"78,000 km",1300cc,4800000
"['Mazda', 'RX8']",Car,Mazda,2006,Petrol,Manual,"57,000 km",1300cc,2850000
"['Toyota', 'Corolla']",Car,Toyota,2022,Petrol,Automatic,"2,800 km",1799cc,7600000
"['Suzuki', 'Cultus']",Car,Suzuki,2012,Petrol,Manual,"120,000 km",1000cc,1195000
"['Hyundai', 'Sonata']",Car,Hyundai,2023,Petrol,Automatic,60 km,2497cc,11488000
"['Suzuki', 'Every']",Car,Suzuki,2014,Petrol,Automatic,"100,000 km",660cc,1800000
"['Toyota', 'Hilux']",Car,Toyota,2013,Diesel,Automatic,"110,000 km",2500cc,8000000
"['KIA', 'Sportage']",Car,KIA,2020,Petrol,Automatic,"80,000 km",1999cc,6880000
"['Suzuki', 'Cultus']",Car,Suzuki,2019,Petrol,Manual,"104,000 km",1000cc,2450000
"['Toyota', 'Land']",Car,Toyota,2017,Petrol,Automatic,"46,000 km",4600cc,50500000
"['Toyota', 'Vitz']",Car,Toyota,2008,Petrol,Automatic,"150,000 km",1300cc,2200000
"['Toyota', 'Land']",Car,Toyota,2018,Petrol,Automatic,"8,000 km",4600cc,42500000
"['Toyota', 'Prado']",Car,Toyota,2008,Petrol,Automatic,"70,000 km",4000cc,10500000
"['Toyota', 'Vitz']",Car,Toyota,2019,Petrol,Automatic,"46,800 km",1000cc,3700000
"['Toyota', 'Fortuner']",Car,Toyota,2021,Petrol,Automatic,"27,078 km",2700cc,15200000
"['Honda', 'City']",Car,Honda,2022,Petrol,Automatic,"15,000 km",1500cc,5480000
"['Toyota', 'Camry']",Car,Toyota,2015,Hybrid,Automatic,"110,000 km",2500cc,11100000
"['Suzuki', 'Swift']",Car,Suzuki,2012,Petrol,Automatic,"89,000 km",1300cc,2050000
"['Daihatsu', 'Cast']",Car,Daihatsu,2019,Petrol,Automatic,"45,000 km",660cc,2600000
"['Toyota', 'Prado']",Car,Toyota,2004,Petrol,Automatic,"165,000 km",2700cc,7150000
"['Toyota', 'Prado']",Car,Toyota,2017,Petrol,Automatic,"42,000 km",2700cc,28000000
"['Audi', 'e-tron']",Car,Audi,2022,Electric,Automatic,80 km,cc,47500000
"['Toyota', 'Hilux']",Car,Toyota,2022,Diesel,Automatic,"10,200 km",2800cc,14300000
"['Suzuki', 'Cultus']",Car,Suzuki,2022,Petrol,Manual,"13,000 km",1000cc,3530000
"['Haval', 'Jolion']",Car,Haval,2021,Petrol,Automatic,"30,000 km",1497cc,8350000
"['Honda', 'City']",Car,Honda,2020,Petrol,Manual,"59,000 km",1300cc,3625000
"['Toyota', 'Aqua']",Car,Toyota,2014,Hybrid,Automatic,"83,250 km",1500cc,3720000
"['Honda', 'City']",Car,Honda,2015,Petrol,Manual,"120,000 km",1300cc,2495000
"['Suzuki', 'Alto']",Car,Suzuki,2020,Petrol,Manual,"11,000 km",660cc,2425000
"['Suzuki', 'FX']",Car,Suzuki,1985,Petrol,Manual,"15,000 km",660cc,250000
"['Toyota', 'Corolla']",Car,Toyota,2013,Petrol,Manual,"100,000 km",1300cc,2150000
"['Honda', 'Civic']",Car,Honda,2012,Petrol,Automatic,"86,000 km",1800cc,2900000
"['Hyundai', 'Shehzore']",Car,Hyundai,2001,Lpg,Manual,"230,000 km",2000cc,2400000
"['Suzuki', 'Wagon']",Car,Suzuki,2021,Petrol,Manual,"11,000 km",1000cc,2950000
"['Toyota', 'Corolla']",Car,Toyota,2014,Petrol,Manual,"155,000 km",1300cc,2440000
"['Suzuki', 'Mehran']",Car,Suzuki,2006,Petrol,Manual,"250,000 km",800cc,400000
"['Honda', 'City']",Car,Honda,2002,Petrol,Manual,"120,000 km",1300cc,1000000
"['Honda', 'Civic']",Car,Honda,2021,Petrol,Automatic,"23,000 km",1800cc,7000000
"['Suzuki', 'Wagon']",Car,Suzuki,2016,Petrol,Manual,"60,000 km",1000cc,220000
"['Toyota', 'Corolla']",Car,Toyota,2019,Petrol,Automatic,"80,000 km",1300cc,4450000
"['Daihatsu', 'Taft']",Car,Daihatsu,2020,Petrol,Automatic,"21,000 km",660cc,4450000
"['Toyota', 'Passo']",Car,Toyota,2018,Petrol,Automatic,"57,000 km",1000cc,3500000
"['Mercedes', 'Benz']",Car,Mercedes Benz,2018,Petrol,Automatic,"19,450 km",1500cc,18500000
"['Mercedes', 'Benz']",Car,Mercedes Benz,2003,Petrol,Automatic,"149,141 km",1800cc,4200000
"['Toyota', 'Corolla']",Car,Toyota,2019,Petrol,Manual,"49,550 km",1300cc,4250000
"['Suzuki', 'Cultus']",Car,Suzuki,2012,Petrol,Manual,"145,000 km",1000cc,1100000
"['Honda', 'Vezel']",Car,Honda,2017,Hybrid,Automatic,"80,000 km",1500cc,8000000
"['Honda', 'City']",Car,Honda,2017,Petrol,Manual,"76,000 km",1500cc,4000000
"['Jeep', 'M']",Car,Jeep,1973,Diesel,Manual,"30,000 km",2300cc,1600000
"['Toyota', 'Corolla']",Car,Toyota,2021,Petrol,Automatic,"23,700 km",1800cc,6995000
"['Toyota', 'Corolla']",Car,Toyota,2020,Petrol,Automatic,"40,000 km",1300cc,4650000
"['Toyota', 'Aqua']",Car,Toyota,2013,Hybrid,Automatic,"135,000 km",1500cc,3690000
"['Suzuki', 'Alto']",Car,Suzuki,2022,Petrol,Manual,"17,000 km",660cc,2700000
"['Nissan', 'Note']",Car,Nissan,2019,Hybrid,Automatic,"48,000 km",1198cc,4850000
"['Honda', 'Vezel']",Car,Honda,2013,Petrol,Automatic,"104,000 km",1500cc,3800000
"['Toyota', 'Prado']",Car,Toyota,2013,Petrol,Automatic,"82,000 km",4000cc,27300000
"['Toyota', 'Corolla']",Car,Toyota,2018,Petrol,Automatic,"65,000 km",1300cc,4400000
"['Suzuki', 'Swift']",Car,Suzuki,2020,Petrol,Automatic,"54,000 km",1300cc,3250000
"['Toyota', 'Corolla']",Car,Toyota,2022,Petrol,Automatic,"25,000 km",1800cc,7875000
"['Toyota', 'Vitz']",Car,Toyota,2018,Petrol,Automatic,"70,000 km",1000cc,4050000
"['Honda', 'Civic']",Car,Honda,2005,Petrol,Automatic,123 km,1600cc,1680000
"['Suzuki', 'Mehran']",Car,Suzuki,2015,Petrol,Manual,"33,000 km",796cc,990000
"['Honda', 'CR-Z']",Car,Honda,2011,Hybrid,Automatic,"102,000 km",1500cc,2650000
"['Suzuki', 'Cultus']",Car,Suzuki,2019,Petrol,Manual,"30,000 km",1000cc,2575000
"['Toyota', 'C-HR']",Car,Toyota,2018,Hybrid,Automatic,"65,000 km",1800cc,8700000
